Category,Order Date,Segment,Sales Target
Office Supplies,1/3/2019,Consumer,15
Office Supplies,1/4/2019,Home Office,300
Office Supplies,1/5/2019,Consumer,21
Furniture,1/6/2019,Home Office,2316
Office Supplies,1/6/2019,Consumer,17
Office Supplies,1/6/2019,Corporate,14
Office Supplies,1/6/2019,Home Office,699
Technology,1/6/2019,Home Office,1068
Furniture,1/7/2019,Consumer,81
Office Supplies,1/7/2019,Consumer,11
Office Supplies,1/9/2019,Consumer,9
Technology,1/9/2019,Consumer,29
Furniture,1/10/2019,Corporate,47
Office Supplies,1/10/2019,Corporate,3
Furniture,1/11/2019,Consumer,9
Furniture,1/13/2019,Consumer,792
Office Supplies,1/13/2019,Consumer,1387
Office Supplies,1/13/2019,Corporate,570
Technology,1/13/2019,Corporate,595
Furniture,1/14/2019,Corporate,66
Technology,1/15/2019,Consumer,144
Furniture,1/16/2019,Consumer,109
Office Supplies,1/16/2019,Consumer,49
Technology,1/16/2019,Consumer,112
Office Supplies,1/18/2019,Corporate,66
Furniture,1/19/2019,Consumer,158
Office Supplies,1/19/2019,Consumer,183
Furniture,1/20/2019,Consumer,1244
Office Supplies,1/20/2019,Consumer,538
Office Supplies,1/20/2019,Corporate,67
Technology,1/20/2019,Consumer,749
Furniture,1/21/2019,Consumer,25
Office Supplies,1/23/2019,Consumer,40
Furniture,1/26/2019,Corporate,124
Furniture,1/26/2019,Home Office,65
Office Supplies,1/26/2019,Corporate,10
Office Supplies,1/26/2019,Home Office,531
Technology,1/26/2019,Home Office,343
Furniture,1/27/2019,Consumer,360
Office Supplies,1/27/2019,Consumer,86
Office Supplies,1/28/2019,Consumer,3
Office Supplies,1/30/2019,Consumer,262
Furniture,1/31/2019,Consumer,308
Technology,2/1/2019,Consumer,506
Office Supplies,2/2/2019,Consumer,19
Office Supplies,2/2/2019,Home Office,11
Technology,2/2/2019,Consumer,176
Office Supplies,2/3/2019,Consumer,106
Office Supplies,2/4/2019,Corporate,15
Office Supplies,2/4/2019,Home Office,122
Office Supplies,2/6/2019,Consumer,10
Office Supplies,2/6/2019,Corporate,13
Technology,2/6/2019,Corporate,261
Office Supplies,2/7/2019,Corporate,71
